111111,20101225,16,0,3.0000, 1,0,0.0000
111111,20101225, 2,0,1.0000,16,0,1.0000
111111,20101225,16,0,3.0000, 3,0,0.0000
111111,20101225,16,0,3.0000, 4,0,0.0000
111111,20101225,16,0,3.0000, 5,0,0.0000
111111,20101225,16,0,3.0000, 6,0,0.0000
111111,20101225,16,0,3.0000, 7,0,0.0000
111111,20101225,16,0,3.0000, 8,0,0.0000
111111,20101225, 9,0,3.0000,16,0,0.0000
111111,20101225,10,0,3.0000,16,0,0.0000
111111,20101225,11,0,3.0000,16,0,0.0000
111111,20101225,16,0,3.0000,12,0,0.0000
111111,20101225,16,0,3.0000,13,0,0.0000
111111,20101225,14,0,3.0000,16,0,0.0000
111111,20101225,15,0,3.0000,16,0,0.0000
111111,20101225,17,0,3.0000, 1,0,0.0000
111111,20101225,17,0,3.0000, 2,0,0.0000
111111,20101225,17,0,3.0000, 3,0,0.0000
111111,20101225,17,0,3.0000, 4,0,0.0000
111111,20101225, 5,0,3.0000,17,0,0.0000
111111,20101225,17,0,3.0000, 6,0,0.0000
111111,20101225,17,0,3.0000, 7,0,0.0000
111111,20101225,17,0,3.0000, 8,0,0.0000
111111,20101225, 9,0,3.0000,17,0,0.0000
111111,20101225,10,0,3.0000,17,0,0.0000
111111,20101225,11,0,3.0000,17,0,0.0000
111111,20101225,17,0,3.0000,12,0,0.0000
111111,20101225,17,0,3.0000,13,0,0.0000
111111,20101225,14,0,3.0000,17,0,0.0000
111111,20101225,15,0,2.0000,17,0,0.0000
111111,20101225,18,0,3.0000, 1,0,0.0000
111111,20101225,18,0,3.0000, 2,0,0.0000
111111,20101225, 3,0,1.0000,18,0,0.0000
111111,20101225,18,0,2.0000, 4,0,0.0000
111111,20101225, 5,0,3.0000,18,0,0.0000
111111,20101225,18,0,3.0000, 6,0,0.0000
111111,20101225,18,0,3.0000, 7,0,0.0000
111111,20101225, 8,0,3.0000,18,0,0.0000
111111,20101225, 9,0,3.0000,18,0,0.0000
111111,20101225,10,0,2.0000,18,0,0.0000
111111,20101225,18,0,3.0000,11,0,0.0000
111111,20101225,18,0,3.0000,12,0,0.0000
111111,20101225,18,0,3.0000,13,0,0.0000
111111,20101225,14,0,1.0000,18,0,1.0000
111111,20101225,15,0,3.0000,18,0,0.0000
111111,20101225,19,0,3.0000, 1,0,0.0000
111111,20101225,19,0,3.0000, 2,0,0.0000
111111,20101225, 3,0,3.0000,19,0,0.0000
111111,20101225,19,0,2.0000, 4,0,0.0000
111111,20101225,19,0,3.0000, 5,0,0.0000
111111,20101225, 6,0,1.0000,19,0,0.0000
111111,20101225,19,0,3.0000, 7,0,0.0000
111111,20101225, 8,0,1.0000,19,0,1.0000
111111,20101225, 9,0,3.0000,19,0,0.0000
111111,20101225,10,0,3.0000,19,0,0.0000
111111,20101225,11,0,3.0000,19,0,0.0000
111111,20101225,19,0,3.0000,12,0,0.0000
111111,20101225,19,0,3.0000,13,0,0.0000
111111,20101225,19,0,3.0000,14,0,0.0000
111111,20101225,15,0,3.0000,19,0,0.0000
111111,20101225,20,0,3.0000, 1,0,0.0000
111111,20101225, 2,0,3.0000,20,0,0.0000
111111,20101225, 3,0,3.0000,20,0,0.0000
111111,20101225,20,0,3.0000, 4,0,0.0000
111111,20101225,20,0,3.0000, 5,0,0.0000
111111,20101225, 6,0,2.0000,20,0,0.0000
111111,20101225,20,0,3.0000, 7,0,0.0000
111111,20101225,20,0,3.0000, 8,0,0.0000
111111,20101225, 9,0,3.0000,20,0,0.0000
111111,20101225,10,0,3.0000,20,0,0.0000
111111,20101225,11,0,3.0000,20,0,0.0000
111111,20101225,20,0,3.0000,12,0,0.0000
111111,20101225,20,0,3.0000,13,0,0.0000
111111,20101225,20,0,3.0000,14,0,0.0000
111111,20101225,15,0,3.0000,20,0,0.0000
111111,20101225,21,0,3.0000, 1,0,0.0000
111111,20101225, 2,0,3.0000,21,0,0.0000
111111,20101225, 3,0,3.0000,21,0,0.0000
111111,20101225,21,0,3.0000, 4,0,0.0000
